Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,5.2,1979652.0,2.0,1.1
Albania,57.0,1618111.0,32.0,25.0
Algeria,23.0,9989662.0,14.0,9.7
Angola,7.8,2469333.0,4.7,3.0
Argentina,106.0,47543513.0,64.0,42.0
Armenia,11.0,335721.0,7.3,4.1
Aruba,145.0,153936.0,76.0,69.0
Australia,92.0,23362740.0,57.0,35.0
Austria,120.0,10669251.0,63.0,60.0
Azerbaijan,77.0,7745851.0,45.0,32.0
Bahamas,44.0,173130.0,27.0,17.0
Bahrain,154.0,2530475.0,71.0,67.0
Bangladesh,22.0,35483633.0,13.0,8.7
Barbados,76.0,219138.0,43.0,34.0
Belarus,33.0,3085256.0,18.0,15.0
Belgium,143.0,16414814.0,74.0,72.0
Belize,67.0,261183.0,45.0,21.0
Benin,1.5,174074.0,1.3,0.4
Bhutan,137.0,1045228.0,74.0,63.0
Bolivia,55.0,6323595.0,36.0,26.0
Bosnia and Herzegovina,32.0,1060145.0,19.0,13.0
Botswana,26.0,587595.0,16.0,9.6
Brazil,102.0,214665906.0,68.0,36.0
Brunei,89.0,385602.0,55.0,34.0
Bulgaria,35.0,2437295.0,,18.0
Burkina Faso,0.8,166160.0,0.8,0.5
Cambodia,128.0,21148891.0,70.0,60.0
Cameroon,1.7,444521.0,1.4,0.3
Canada,145.0,54674348.0,76.0,70.0
Cape Verde,67.0,368789.0,50.0,17.0
Central African Republic,2.4,112492.0,2.2,0.2
Chad,0.7,104707.0,0.5,0.1
Chile,161.0,30515177.0,77.0,74.0
Colombia,75.0,37627506.0,49.0,31.0
Comoros,39.0,334369.0,21.0,19.0
Congo,0.1,120062.0,0.1,0.1
Costa Rica,97.0,4872085.0,62.0,34.0
Croatia,82.0,3341864.0,43.0,41.0
Cuba,147.0,16696685.0,63.0,38.0
Curaçao,118.0,185129.0,62.0,56.0
Cyprus,94.0,1126551.0,49.0,45.0
Czech Republic,109.0,11674348.0,56.0,55.0
Denmark,150.0,8703120.0,76.0,74.0
Djibouti,6.8,66010.0,4.1,2.7
Dominican Rep.,107.0,11521256.0,55.0,45.0
Ecuador,117.0,20320001.0,62.0,55.0
Egypt,12.0,11989196.0,7.7,4.2
El Salvador,109.0,7010709.0,60.0,49.0
Equatorial Guinea,27.0,370163.0,16.0,12.0
Estonia,99.0,1318468.0,56.0,43.0
Eswatini,18.0,210277.0,16.0,15.0
Ethiopia,2.6,2879482.0,2.1,0.5
Fiji,102.0,912149.0,64.0,38.0
Finland,132.0,7265794.0,74.0,58.0
France,137.0,91962598.0,74.0,64.0
French Polynesia,97.0,271181.0,53.0,45.0
Gabon,6.7,146464.0,3.9,2.9
Gambia,8.6,201835.0,7.7,7.1
Georgia,41.0,1534111.0,25.0,17.0
Germany,126.0,104949545.0,67.0,63.0
Greece,110.0,11789457.0,59.0,55.0
Grenada,43.0,48140.0,25.0,18.0
Guatemala,35.0,5812857.0,24.0,11.0
Guinea,11.0,1374371.0,7.4,3.4
Guinea-Bissau,1.6,31090.0,1.5,0.2
Guyana,65.0,512067.0,43.0,22.0
Haiti,0.4,50624.0,0.3,0.1
Honduras,48.0,4637151.0,30.0,17.0
Hong Kong,111.0,8247574.0,59.0,52.0
Iceland,150.0,542815.0,78.0,75.0
India,56.0,761350715.0,42.0,14.0
Indonesia,44.0,118103364.0,28.0,16.0
Iran,42.0,35047143.0,28.0,15.0
Iraq,15.0,5739867.0,9.4,5.2
Ireland,143.0,7059629.0,76.0,72.0
Israel,161.0,14600357.0,67.0,61.0
Italy,135.0,81636330.0,73.0,65.0
Ivory Coast,6.3,1620480.0,4.6,1.1
Jamaica,24.0,693827.0,17.0,7.2
Japan,118.0,148775011.0,65.0,53.0
Jordan,67.0,6745641.0,36.0,31.0
Kazakhstan,71.0,13142460.0,39.0,32.0
Kenya,6.1,3192099.0,4.5,1.6
Kiribati,27.0,31332.0,21.0,5.9
Kyrgyzstan,20.0,1305448.0,12.0,8.5
Laos,61.0,4402770.0,37.0,26.0
Latvia,82.0,1569970.0,46.0,42.0
Lebanon,39.0,2668692.0,22.0,17.0
Lesotho,9.5,201795.0,3.4,1.5
Liberia,2.3,113680.0,2.1,0.6
Libya,20.0,1381309.0,18.0,2.0
Lithuania,118.0,3296750.0,61.0,57.0
Luxembourg,126.0,779620.0,67.0,
Macau,98.0,621410.0,53.0,46.0
Madagascar,1.0,283091.0,0.8,0.3
Mainland China,154.0,2156938000.0,78.0,69.0
Malawi,5.1,956031.0,3.9,2.5
Malaysia,124.0,39483116.0,68.0,56.0
Maldives,135.0,715975.0,73.0,61.0
Mali,1.9,370529.0,1.4,0.4
Malta,161.0,807825.0,83.0,83.0
Mauritania,7.4,333089.0,6.9,0.5
Mauritius,128.0,1625865.0,67.0,62.0
Mexico,73.0,93588719.0,48.0,32.0
Moldova,51.0,1346799.0,,28.0
Mongolia,135.0,4366169.0,70.0,66.0
Montenegro,68.0,423768.0,36.0,32.0
Morocco,99.0,36271200.0,55.0,45.0
Mozambique,11.0,3427486.0,6.1,5.1
Myanmar,12.0,6253687.0,8.2,3.3
Namibia,15.0,374178.0,9.3,5.7
Nepal,40.0,11419446.0,21.0,19.0
Netherlands,128.0,22153083.0,70.0,63.0
New Caledonia,61.0,176813.0,35.0,26.0
New Zealand,92.0,4507944.0,61.0,31.0
Nicaragua,11.0,735252.0,7.3,4.0
Niger,2.7,621853.0,1.7,0.4
Nigeria,2.8,5712019.0,2.0,0.8
North Macedonia,68.0,1411735.0,37.0,31.0
Norway,140.0,7480218.0,75.0,65.0
Oman,81.0,4036350.0,52.0,29.0
Pakistan,33.0,70402987.0,24.0,11.0
Panama,117.0,4964341.0,68.0,49.0
Papua New Guinea,1.8,154710.0,1.3,0.5
Paraguay,61.0,4271051.0,35.0,26.0
Peru,65.0,21084194.0,38.0,27.0
Philippines,37.0,40030388.0,,16.0
Poland,97.0,36803305.0,52.0,50.0
Portugal,151.0,15535354.0,86.0,81.0
Qatar,163.0,4624179.0,83.0,78.0
Republic of the Congo,5.9,319231.0,3.9,2.1
Romania,51.0,9890710.0,28.0,27.0
Russia,60.0,86564229.0,32.0,28.0
Rwanda,23.0,2882134.0,14.0,8.4
Saint Lucia,39.0,70929.0,23.0,16.0
Saint Vincent and the Grenadines,29.0,32126.0,18.0,11.0
Samoa,72.0,142566.0,49.0,23.0
Saudi Arabia,117.0,40224990.0,67.0,50.0
Senegal,11.0,1768064.0,7.4,3.5
Serbia,89.0,6186509.0,43.0,41.0
Sierra Leone,2.8,221110.0,2.3,0.5
Singapore,159.0,9060157.0,81.0,79.0
Slovakia,85.0,4620120.0,44.0,41.0
Slovenia,96.0,2005418.0,51.0,46.0
Solomon Islands,15.0,97744.0,11.0,3.5
Somalia,2.2,339599.0,1.4,0.8
South Africa,26.0,15447034.0,19.0,13.0
South Korea,106.0,54766537.0,68.0,41.0
South Sudan,0.6,67109.0,0.5,0.1
Spain,146.0,68820573.0,79.0,76.0
Sri Lanka,112.0,24349601.0,62.0,49.0
Sudan,2.9,1255213.0,1.5,0.8
Suriname,64.0,372429.0,37.0,27.0
Sweden,129.0,13259346.0,68.0,60.0
Switzerland,116.0,9978623.0,61.0,53.0
Syria,2.4,403254.0,1.2,1.2
São Tomé and Príncipe,27.0,57154.0,21.0,5.6
Taiwan,53.0,12708428.0,48.0,5.2
Tajikistan,37.0,3446777.0,23.0,14.0
Tanzania,0.6,350000.0,0.6,0.6
Thailand,60.0,41647101.0,40.0,19.0
Timor-Leste,48.0,615462.0,31.0,17.0
Togo,8.1,651941.0,5.1,2.9
Tonga,65.0,68404.0,39.0,26.0
Trinidad and Tobago,72.0,1004094.0,40.0,32.0
Tunisia,59.0,6911801.0,39.0,26.0
Turkey,124.0,103526811.0,63.0,49.0
U.A.E.,196.0,19163754.0,92.0,81.0
U.K.,139.0,92650551.0,73.0,66.0
Uganda,3.2,1436264.0,2.3,0.8
Ukraine,25.0,11106749.0,14.0,11.0
United States,115.0,382294795.0,63.0,54.0
Uruguay,172.0,5959433.0,78.0,74.0
Uzbekistan,48.0,15978140.0,29.0,8.6
Vanuatu,17.0,50620.0,13.0,3.8
Venezuela,39.0,11094206.0,24.0,15.0
Vietnam,32.0,31254856.0,26.0,6.0
West Bank & Gaza,36.0,1673806.0,25.0,10.0
Yemen,1.1,322934.0,1.1,0.1
Zambia,3.6,649919.0,2.0,1.7
Zimbabwe,33.0,4855816.0,20.0,13.0
